Country,Region,Code,BoysH1900,BoysH1980,GirlsH1900,GirlsH1980,Happiness,LifeExpectancy,Footprint,GDPperCapita,Population2010,Population2020,Density,LandArea,FertRate,MedianAge,UrbanPop,WorldShare,BeerServ,SpiritServ,WineServ,TotalVacc,PeopleVacc,PeopleFullyVac,PeopleVacc_per100
Afghanistan,Asia,AFG,161.2930682,165.3812914,149.7235866,155.9140505,NA,NA,NA,NA,NA,38.742911,60,652860,4.6,18,25,0.5,0,0,0,15093798,13441995,32.68,30.93
Albania,Europe,ALB,163.8918524,174.1004181,151.0665928,162.0169173,5.5,76.2,2.2,5316,3.15,2.87842,105,27400,1.6,36,63,0.04,1.711538462,2.538461538,1.038461538,3058102,1345763,47.35,44.85
Algeria,Africa,DZA,161.2460556,172.1243978,152.4126022,159.5387109,5.6,71.7,1.7,7062,32.85,43.685618,18,2381740,3.1,29,73,0.56,0.480769231,0,0.269230769,15267442,7840131,17.46,14.43
American Samoa,Oceania,ASM,169.8497501,175.9618644,158.5739947,164.6652268,NA,NA,NA,NA,NA,0.055215,276,200,NA,NA,88,0,NA,NA,NA,NA,NA,NA,NA
Andorra,Europe,AND,163.7493877,175.4868618,152.7860908,162.3629305,NA,NA,NA,NA,NA,0.07724,164,470,NA,NA,88,0,4.711538462,2.653846154,6,156766,57903,72.52,67
Angola,Africa,AGO,162.5262226,169.721557,153.0222495,158.5683493,4.3,41.7,0.9,2335,16.1,32.644783,26,1246700,5.6,17,67,0.42,4.173076923,1.096153846,0.865384615,24502287,15349780,43.13,23.9
Antigua and Barbuda,Americas,ATG,162.3881866,172.4867285,151.3733676,160.8224907,NA,NA,NA,NA,NA,0.097764,223,440,2,34,26,0,1.961538462,2.461538462,0.865384615,136512,64290,68.56,66.53
Argentina,Americas,ARG,162.9267593,173.7452466,151.1987512,159.5268374,7.1,74.8,2.5,14280,38.75,45.111229,17,2736690,2.3,32,93,0.58,3.711538462,0.480769231,4.25,114934815,41473965,91.13,76.58
Armenia,Asia,ARM,162.5023375,172.5759139,150.2388441,158.4284991,5,71.7,1.4,4945,3.02,2.962137,104,28470,1.8,35,63,0.04,0.403846154,3.442307692,0.211538462,2150112,1129669,40.63,35.45
Australia,Oceania,AUS,169.2904185,178.8966817,156.0623087,165.0783461,7.9,80.9,7.8,31794,20.4,25.439164,3,7682300,1.8,38,86,0.33,5.019230769,1.384615385,4.076923077,63681652,22236698,84.95,82.72
Austria,Europe,AUT,168.5751477,177.8332362,158.021106,165.1912514,7.8,79.4,5,33700,8.23,8.996022,109,82409,1.5,43,57,0.12,5.365384615,1.442307692,3.673076923,20428995,6898666,77.17,74.74
Azerbaijan,Asia,AZE,162.4460457,171.7198517,150.5554868,158.8190368,5.3,67.1,2.2,5016,8.39,10.120555,123,82658,2.1,32,56,0.13,0.403846154,0.884615385,0.096153846,13857111,5373253,51.88,46.94
Bahamas,Americas,BHS,162.4057458,172.5210172,151.3304443,160.828506,NA,NA,NA,NA,NA,0.392477,39,10010,1.8,32,86,0.01,2.346153846,3.384615385,0.980769231,364701,174147,42.48,40.4
Bahrain,Asia,BHR,157.4408448,168.8664991,150.2016683,157.1308913,NA,NA,NA,NA,NA,1.688629,2239,760,2,32,89,0.02,0.807692308,1.211538462,0.134615385,3476633,1241174,84.31,83.33
Bangladesh,Asia,BGD,158.8226232,164.0888739,142.1550228,151.0859205,5.3,63.1,0.6,2053,153.28,164.354176,1265,130170,2.1,28,39,2.11,0,0,0,355143411,151190373,88.32,80.11
Barbados,Americas,BRB,165.5067107,175.7805605,152.8269494,164.5523577,NA,NA,NA,NA,NA,0.287305,668,430,1.6,40,31,0,2.75,3.326923077,0.692307692,381633,163833,58.17,55.04
Belarus,Europe,BLR,168.1013672,177.9158776,154.6873774,165.5430593,5.8,68.7,3.9,7918,9.78,9.44994,47,202910,1.7,40,79,0.12,2.730769231,7.173076923,0.807692308,19047714,6528944,68.47,67.23
Belgium,Europe,BEL,167.5846962,179.871592,155.9214835,165.3250566,7.6,78.8,5.1,32119,10.48,11.579477,383,30280,1.7,42,98,0.15,5.673076923,1.615384615,4.076923077,29624421,9265699,79.49,78.66
Belize,Americas,BLZ,158.8217731,168.6849564,146.9372529,156.7516375,6.6,75.9,2.6,7109,0.29,0.39612000000000003,17,22810,2.3,25,46,0.01,5.057692308,2.192307692,0.153846154,502189,251908,62.16,54.62
Benin,Africa,BEN,162.9214561,170.201693,153.6362156,158.8502046,3,55.4,1,1141,8.49,12.055347,108,112760,4.9,19,48,0.16,0.653846154,0.076923077,0.25,4232541,3697190,27.69,20.54
Bermuda,Americas,BMU,162.4203052,172.4772181,151.2968993,160.8372566,NA,NA,NA,NA,NA,0.062323,1246,50,NA,NA,97,0,NA,NA,NA,132042,48554,75.62,74.22
Bhutan,Asia,BTN,161.312602,164.3668366,147.4802635,153.7576472,6.1,64.7,1,3649,0.64,0.769867,20,38117,2,28,46,0.01,0.442307692,0,0,2011426,699116,89.35,86.61
Bolivia,Americas,BOL,156.842857,166.5213162,143.8564743,152.6059607,6.5,64.7,2.1,2819,9.18,11.640159,11,1083300,2.8,26,69,0.15,3.211538462,0.788461538,0.153846154,14690530,7361008,60.22,50.4
Bosnia and Herzegovina,Europe,BIH,169.0119812,181.1181911,154.8463845,167.1861483,5.9,74.5,2.9,7032,3.78,3.284806,64,51000,1.3,43,52,0.04,1.461538462,3.326923077,0.153846154,1924950,943394,29.18,26.17
Botswana,Africa,BWA,166.4658361,173.0694441,156.4840522,162.325081,4.7,48.1,3.6,12387,1.84,2.341649,4,566730,2.9,24,73,0.03,3.326923077,0.673076923,0.673076923,3171667,1931675,73.44,61.89
Brazil,Americas,BRA,163.5947482,172.0571863,150.6297713,159.106673,7.6,71.7,2.4,8402,186.83,212.25315,25,8358140,1.7,33,88,2.73,4.711538462,2.788461538,0.307692308,485257376,189394362,87.96,81.69
Brunei,Asia,BRN,156.2804868,164.2366686,146.1651734,153.3312462,NA,NA,NA,NA,NA,0.436624,83,5270,1.8,32,80,0.01,0.596153846,0.038461538,0.019230769,1289036,450886,100.42,99.44
Bulgaria,Europe,BGR,166.9990575,178.1444127,153.0566167,164.6961319,5.5,72.7,2.7,9032,7.74,6.958627,64,108560,1.6,45,76,0.09,4.442307692,4.846153846,1.807692308,4608926,NA,NA,30.61
Burkina Faso,Africa,BFA,163.8183793,171.371749,156.5871841,161.8131919,3.6,51.4,2,1213,13.93,20.780371,76,273600,5.2,18,31,0.27,0.480769231,0.134615385,0.134615385,5856003,4531047,19.98,15.45
Burundi,Africa,BDI,161.9902667,168.6084706,151.5944435,155.7716883,2.9,48.5,0.8,699,7.86,11.814346,463,25680,5.5,17,14,0.15,1.692307692,0,0,35060,33104,0.26,0.25
Cabo Verde,Africa,CPV,165.1171978,174.4590009,155.0355501,162.2389528,NA,NA,NA,NA,NA,0.55475,138,4030,2.3,28,68,0.01,2.769230769,1.076923077,0.307692308,859940,356734,60.14,52.05
Cambodia,Asia,KHM,155.3889285,162.8347027,146.6953171,153.0743796,4.9,58,0.9,2727,13.96,16.671185,95,176520,2.5,26,24,0.21,1.096153846,1.25,0.019230769,46203724,15273098,91.09,87.32
Cameroon,Africa,CMR,163.884449,170.8909399,154.2553186,160.4328893,3.9,49.8,1.3,2299,17.8,26.405174,56,472710,4.6,19,56,0.34,2.826923077,0.019230769,0.076923077,4274312,3431986,12.29,10.36
Canada,Americas,CAN,170.9604831,177.4215776,157.9067111,163.3480733,8,80.3,7.1,33375,32.31,37.67477,4,9093510,1.5,41,81,0.48,4.615384615,2.346153846,1.923076923,96956502,34763194,90.4,82.6
Central African Republic,Africa,CAF,161.7093169,169.1078701,152.5334888,159.0959247,4,43.7,1.6,1224,4.19,4.812256,8,622980,4.8,18,43,0.06,0.326923077,0.038461538,0.019230769,2535002,2292088,41.08,39.01
Chad,Africa,TCD,165.2451557,172.853154,157.1587599,162.2220425,5.4,50.4,1.7,1427,10.15,16.32444,13,1259200,5.8,17,23,0.21,0.288461538,0.019230769,0.019230769,6379628,6240588,35.21,34.49
Chile,Americas,CHL,161.1699873,171.010012,148.1394361,157.9991344,6.3,78.3,3,12027,16.3,19.082804,26,743532,1.7,35,85,0.25,2.5,2.384615385,3.307692308,62688847,18088517,92.27,90.29
China,Asia,CHN,161.5858939,169.8074958,150.6039552,158.556818,6.7,72.5,2.1,6757,1304.5,1438.207241,153,9388211,1.7,38,61,18.47,1.519230769,3.692307692,0.153846154,3491077000,1310292000,91.89,89.54
Colombia,Americas,COL,157.9581678,169.0054089,144.7966471,155.8797156,7.3,72.3,1.8,7304,44.95,50.771878,46,1109500,1.8,31,80,0.65,3.057692308,1.461538462,0.057692308,90210929,42959468,82.81,71.23
Comoros,Africa,COM,160.0427132,167.1214656,150.9458862,156.0474845,NA,NA,NA,NA,NA,0.865696,467,1861,4.2,20,29,0.01,0.019230769,0.057692308,0.019230769,835021,438825,52.44,47.45
