"","YearBuilt","YearSold","Neighborhood","HomeSizeR","HomeSizeK","LotSizeR","LotSizeK","Floors","BuildQuality","Foundation","HasCentralAir","Bathrooms","Bedrooms","TotalRooms","KitchenQuality","HasFireplace","GarageType","GarageCars","PriceR","PriceK","TinySet"
"1",2005,2006,"CollegeCreek",1734,1.734,11645,11.645,1,7,"PouredConcrete",1,2,3,7,"Good",0,"Attached",2,260000,260,1
"2",2004,2008,"CollegeCreek",1436,1.436,8450,8.45,1,7,"PouredConcrete",1,2,3,8,"Good",0,"Attached",2,210000,210,1
"3",1915,2009,"OldTown",1826,1.826,2500,2.5,2,7,"PouredConcrete",1,1,4,7,"Excellent",1,"Attached",1,155000,155,1
"4",1955,2008,"OldTown",825,0.825,8235,8.235,1,5,"CinderBlock",1,1,2,4,"Average",0,"Detached",2,125000,125,1
"5",1975,2008,"CollegeCreek",924,0.924,7990,7.99,1,5,"CinderBlock",1,1,3,5,"Average",0,"Detached",1,110000,110,1
"6",1923,2007,"OldTown",968,0.968,8520,8.52,1,5,"CinderBlock",1,1,2,5,"Average",0,"Detached",2,100000,100,1
"7",2006,2007,"CollegeCreek",2828,2.828,9965,9.965,2,8,"PouredConcrete",1,3,4,11,"Good",1,"Attached",3,424870,424.87,0
"8",2007,2007,"CollegeCreek",2696,2.696,9965,9.965,2,7,"PouredConcrete",1,2,4,10,"Excellent",1,"Attached",3,383970,383.97,0
"9",2000,2009,"CollegeCreek",2153,2.153,11050,11.05,2,9,"PouredConcrete",1,2,3,8,"Excellent",1,"Attached",3,313000,313,0
"10",2004,2007,"CollegeCreek",2000,2,10386,10.386,1,8,"PouredConcrete",1,2,3,8,"Good",0,"Attached",3,305900,305.9,0
"11",2007,2009,"CollegeCreek",1718,1.718,10637,10.637,1,8,"PouredConcrete",1,2,3,7,"Good",1,"Attached",3,297000,297,0
"12",2008,2009,"CollegeCreek",1630,1.63,10226,10.226,1,8,"PouredConcrete",1,2,3,8,"Excellent",1,"Attached",3,295493,295.493,0
"13",2001,2008,"CollegeCreek",2263,2.263,9240,9.24,2,8,"PouredConcrete",1,2,3,7,"Good",1,"Attached",2,287000,287,0
"14",2002,2007,"CollegeCreek",1668,1.668,11248,11.248,1,9,"PouredConcrete",1,2,3,7,"Good",1,"Attached",3,285000,285,0
"15",2006,2007,"CollegeCreek",1494,1.494,10652,10.652,1,7,"PouredConcrete",1,2,3,7,"Good",1,"Attached",3,279500,279.5,0
