species,gentoo,island,bill_length_cm,flipper_length_cm,body_mass_g,female
Adelie,0,Torgersen,4.6,19.4,4200,0
Gentoo,1,Biscoe,4.6,21.7,4375,1
Adelie,0,Biscoe,3.8,18.5,3950,0
Gentoo,1,Biscoe,5,21.8,5700,0
Adelie,0,Torgersen,4.4,21,4000,0
Adelie,0,Dream,3.7,19.2,3000,1
Gentoo,1,Biscoe,5.1,22.5,5250,0
Gentoo,1,Biscoe,4.5,21.1,4800,1
Chinstrap,0,Dream,5.6,20.7,4000,0
Adelie,0,Torgersen,3.7,19.9,3775,0
Adelie,0,Torgersen,4.1,19.9,4000,0
Chinstrap,0,Dream,5,20,3400,1
Adelie,0,Dream,4.3,19.2,4100,0
Adelie,0,Torgersen,4.1,19.1,3700,1
Gentoo,1,Biscoe,5.1,22.3,5550,0
Gentoo,1,Biscoe,4.5,21.3,5100,1
Adelie,0,Biscoe,3.9,19.9,3750,1
Chinstrap,0,Dream,4.9,21.2,4300,0
Adelie,0,Dream,3.6,20.2,3550,1
Gentoo,1,Biscoe,4.7,21.5,4850,1
Gentoo,1,Biscoe,4.4,21.4,4850,1
Adelie,0,Torgersen,4.1,18.9,3325,0
Chinstrap,0,Dream,4.7,19.2,2700,1
Adelie,0,Dream,3.7,18.4,3475,1
Adelie,0,Dream,3.8,18.1,3300,1
Gentoo,1,Biscoe,4.8,21.2,4875,1
Gentoo,1,Biscoe,4.9,21.6,4925,0
Adelie,0,Dream,3.6,18.2,3150,1
Adelie,0,Dream,4.2,18,3550,1
Adelie,0,Torgersen,4.2,19.8,4450,0
Gentoo,1,Biscoe,4.3,20.9,4700,1
Chinstrap,0,Dream,4.6,19.5,3650,1
Adelie,0,Biscoe,4.3,19.6,4075,0
Chinstrap,0,Dream,5.1,20.1,3950,0
Adelie,0,Dream,3.9,19,4250,0
Adelie,0,Torgersen,3.7,19.3,3450,1
Chinstrap,0,Dream,4.6,19.1,3700,1
Gentoo,1,Biscoe,5.2,23,5550,0
Adelie,0,Torgersen,4,19.6,3550,1
Gentoo,1,Biscoe,5,22.5,5400,0
Adelie,0,Torgersen,3.9,19.1,3800,0
Gentoo,1,Biscoe,4.9,21.6,5550,0
Chinstrap,0,Dream,5,19.6,3900,0
Gentoo,1,Biscoe,4.9,21.7,5850,0
Chinstrap,0,Dream,5.2,19.4,3775,0
Chinstrap,0,Dream,5.2,20.1,4050,0
Gentoo,1,Biscoe,5,22.2,5550,0
Chinstrap,0,Dream,4.8,19.5,3850,1
Adelie,0,Biscoe,4.1,19.2,4050,0
Adelie,0,Dream,4,19.3,4250,0
Gentoo,1,Biscoe,4.5,21,4300,1
Chinstrap,0,Dream,5.1,19.3,3800,0
Chinstrap,0,Dream,5,19.3,3775,0
Chinstrap,0,Dream,5,19.5,3600,0
Chinstrap,0,Dream,5.8,18.1,3700,1
Adelie,0,Torgersen,3.6,19,3050,1
Gentoo,1,Biscoe,4.5,22,5050,0
Adelie,0,Torgersen,3.9,18.8,2900,1
Gentoo,1,Biscoe,4.6,21.5,5100,0
Adelie,0,Biscoe,4,18.8,4300,0
Adelie,0,Dream,3.6,19.1,3175,1
Adelie,0,Torgersen,4.6,19.7,4150,0
Gentoo,1,Biscoe,4.5,21.2,5200,1
Gentoo,1,Biscoe,4.4,21.9,5250,0
Adelie,0,Dream,4,18.4,4650,0
Adelie,0,Dream,3.9,19,3950,0
Adelie,0,Dream,4,19.3,3400,1
Gentoo,1,Biscoe,4.6,21.2,4750,1
Gentoo,1,Biscoe,4.7,21.7,5200,1
Adelie,0,Torgersen,3.9,19.5,4675,0
Chinstrap,0,Dream,5,20,3800,0
Chinstrap,0,Dream,5.4,20.1,4300,0
Adelie,0,Torgersen,4.2,19.5,4000,0
Adelie,0,Biscoe,4.2,19.2,3950,0
Adelie,0,Dream,3.7,18.9,3500,1
Adelie,0,Torgersen,3.5,18.6,3050,1
Adelie,0,Torgersen,3.6,18.7,3150,1
Chinstrap,0,Dream,4.8,19.9,3325,1
Adelie,0,Biscoe,3.8,19,3900,0
Adelie,0,Dream,3.6,19,3450,1
Gentoo,1,Biscoe,5.2,22.1,5450,0
Adelie,0,Dream,3.9,19.6,4150,0
Chinstrap,0,Dream,5,19,3400,1
Adelie,0,Dream,4.1,18.4,3900,0
Adelie,0,Torgersen,3.6,18.9,3350,1
Adelie,0,Biscoe,3.8,17.2,3150,1
Chinstrap,0,Dream,4.7,18.5,3700,1
Adelie,0,Biscoe,3.8,19.4,3750,0
Adelie,0,Dream,4.2,20.1,4000,0
Adelie,0,Biscoe,3.9,18.6,3550,1
Gentoo,1,Biscoe,4.7,21,4850,1
Adelie,0,Biscoe,3.8,19.8,3825,1
Chinstrap,0,Dream,5.1,19.7,3750,0
Gentoo,1,Biscoe,4.5,20.8,4200,1
Gentoo,1,Biscoe,4.4,21.7,4900,1
Gentoo,1,Biscoe,5,21.6,5000,1
Adelie,0,Dream,3.8,18.9,3950,0
Adelie,0,Biscoe,3.5,19,3450,1
Adelie,0,Biscoe,4.6,19.1,4600,0
Gentoo,1,Biscoe,5.6,22.8,5600,0
Adelie,0,Torgersen,3.4,18.4,3325,1
Adelie,0,Dream,3.3,17.8,2900,1
Gentoo,1,Biscoe,4.8,21.5,5650,0
Chinstrap,0,Dream,5.3,20.5,4500,0
Chinstrap,0,Dream,4.2,18.7,3350,1
Gentoo,1,Biscoe,4.8,22.1,5100,0
Chinstrap,0,Dream,5.3,20.5,4550,0
Gentoo,1,Biscoe,4.9,20.8,5350,0
Adelie,0,Torgersen,4.1,20.2,3875,0
Adelie,0,Torgersen,3.9,18.1,3625,1
Adelie,0,Biscoe,3.8,18.1,3175,1
Gentoo,1,Biscoe,5,22.4,5350,0
Chinstrap,0,Dream,5,19.7,3300,0
Chinstrap,0,Dream,4.6,19,3450,1
Adelie,0,Torgersen,3.5,19.8,4400,0
Adelie,0,Dream,4,18.8,3300,1
Adelie,0,Torgersen,3.9,19.1,3050,1
Adelie,0,Biscoe,4,18.7,3200,1
Adelie,0,Torgersen,3.9,19.5,3450,1
Adelie,0,Biscoe,3.8,19,4250,0
Chinstrap,0,Dream,4.9,20.3,4050,0
Chinstrap,0,Dream,4.7,19.3,3800,1
Chinstrap,0,Dream,4.9,19.5,4400,0
Adelie,0,Biscoe,4,19.3,3200,1
Gentoo,1,Biscoe,4.9,22.2,6000,0
Gentoo,1,Biscoe,4.6,21.1,4500,1
Adelie,0,Dream,3.7,17.8,3900,0
Gentoo,1,Biscoe,4.5,20.7,5050,1
Adelie,0,Dream,3.4,18.5,3400,1
Chinstrap,0,Dream,4.5,19.8,3950,1
Adelie,0,Biscoe,4.3,19.7,4775,0
Gentoo,1,Biscoe,4.6,21.4,4650,1
Gentoo,1,Biscoe,4.6,21.4,4400,1
Adelie,0,Biscoe,3.5,19.5,3350,1
Adelie,0,Biscoe,3.5,18.7,2900,1
Chinstrap,0,Dream,5.1,21,4100,0
Chinstrap,0,Dream,4.3,18.7,2900,1
Adelie,0,Torgersen,3.5,19,3700,1
Adelie,0,Torgersen,3.9,19,3325,1
Gentoo,1,Biscoe,4.6,21.9,4700,1
Gentoo,1,Biscoe,4.6,21,4200,1
Gentoo,1,Biscoe,4.9,22.2,5350,0
Chinstrap,0,Dream,5,20.2,3800,0
Chinstrap,0,Dream,4.6,19.5,4150,1
Adelie,0,Dream,3.8,19,3700,1
Adelie,0,Dream,4.1,19,3725,0
Adelie,0,Dream,4.1,19.4,3550,0
Chinstrap,0,Dream,4.6,17.8,3250,1
Gentoo,1,Biscoe,4.9,22.8,5500,0
Gentoo,1,Biscoe,5,22.5,5000,0
Gentoo,1,Biscoe,5.1,22.8,5600,0
Gentoo,1,Biscoe,4.1,21.4,4650,1
Chinstrap,0,Dream,4.1,18.7,3200,1
Adelie,0,Torgersen,3.9,19.1,3275,1
Gentoo,1,Biscoe,4.5,21,4400,1
Adelie,0,Torgersen,4,19.5,3250,1
Adelie,0,Dream,3.8,18.7,3425,1
Adelie,0,Biscoe,4.2,19.7,4275,0
Gentoo,1,Biscoe,4.5,22.3,5950,0
Gentoo,1,Biscoe,4.6,21,4200,1
Adelie,0,Torgersen,4.3,19.6,4700,0
Adelie,0,Torgersen,4.2,19.7,4500,0
Adelie,0,Torgersen,4.1,18.2,3200,1
Gentoo,1,Biscoe,4.9,23,5800,0
Adelie,0,Dream,4.1,18.2,3425,0
Adelie,0,Torgersen,3.7,18.4,3900,0
Adelie,0,Biscoe,3.8,19.3,2925,1
Adelie,0,Dream,3.7,18.5,3400,1
Gentoo,1,Biscoe,4.8,21.6,4750,1
Chinstrap,0,Dream,5,20.1,4050,0
Adelie,0,Dream,3.7,19.3,3500,1
Adelie,0,Torgersen,3.5,19.3,4200,0
Gentoo,1,Biscoe,4.8,21.5,5400,0
Adelie,0,Torgersen,3.9,18.1,3750,0
Adelie,0,Biscoe,3.8,18.5,3600,1
Chinstrap,0,Dream,5,19.8,3675,1
Chinstrap,0,Dream,4.6,19.6,3500,1
Adelie,0,Torgersen,3.9,19,3650,0
Gentoo,1,Biscoe,4.4,20.8,4300,1
Gentoo,1,Biscoe,4.3,21.3,4950,1
Gentoo,1,Biscoe,4.4,20.8,4350,1
Gentoo,1,Biscoe,5,21.6,4750,0
Chinstrap,0,Dream,4.6,19.3,3600,1
Gentoo,1,Biscoe,4.6,22.1,5300,0
Chinstrap,0,Dream,5.1,20.3,4050,0
Adelie,0,Dream,3.9,19,3600,1
Gentoo,1,Biscoe,4.8,21.3,5850,0
Adelie,0,Biscoe,3.6,18.4,2850,1
Gentoo,1,Biscoe,4.3,20.8,4450,1
Gentoo,1,Biscoe,4.3,21.3,4650,1
Gentoo,1,Biscoe,4.9,21,4450,1
Chinstrap,0,Dream,4.2,18.7,3350,1
Adelie,0,Torgersen,4.2,19.5,4300,0
Gentoo,1,Biscoe,5.1,22,6000,0
Adelie,0,Dream,4.1,20.8,4300,0
Gentoo,1,Biscoe,4.7,21.4,4925,1
Gentoo,1,Biscoe,4.3,21.5,5000,1
Adelie,0,Dream,4.1,20.5,4300,0
Chinstrap,0,Dream,4.8,19.1,3400,0
Adelie,0,Dream,4.4,19.6,4400,0
Adelie,0,Dream,3.6,18.7,3300,1
Adelie,0,Dream,3.2,18.8,3050,1
Gentoo,1,Biscoe,5,22.5,5700,0
Adelie,0,Dream,4.1,18.7,3475,0
Gentoo,1,Biscoe,4.6,20.9,4800,1
Gentoo,1,Biscoe,4.5,21.5,5300,0
Adelie,0,Dream,3.9,18.5,3650,0
Adelie,0,Dream,4.1,19,3900,0
Gentoo,1,Biscoe,5,23,5700,0
Chinstrap,0,Dream,5.2,18.7,3250,0
Gentoo,1,Biscoe,4.7,21.7,4900,1
Chinstrap,0,Dream,4.8,19.9,3900,1
Adelie,0,Biscoe,3.6,18.5,3150,1
Adelie,0,Biscoe,4,18.6,3500,1
Gentoo,1,Biscoe,4.3,20.9,4400,1
Adelie,0,Biscoe,3.5,18.7,3800,1
Chinstrap,0,Dream,5.2,20.6,3950,0
Gentoo,1,Biscoe,5.2,23,5500,0
Adelie,0,Biscoe,3.9,18,3800,0
Adelie,0,Torgersen,3.5,18.9,3200,1
Adelie,0,Dream,3.6,19,3800,0
Adelie,0,Dream,3.8,19.9,4475,0
Adelie,0,Dream,4,19,4600,0
Gentoo,1,Biscoe,4.8,20.9,5500,0
Chinstrap,0,Dream,4.2,18.1,3600,1
Chinstrap,0,Dream,5.1,20.1,4450,0
Chinstrap,0,Dream,4.5,19.1,3250,1
Gentoo,1,Biscoe,4.3,21.8,4600,1
Chinstrap,0,Dream,4.7,18.9,3650,1
Adelie,0,Torgersen,4,19,3900,0
Chinstrap,0,Dream,5.2,19.7,4150,0
Gentoo,1,Biscoe,4.5,21.5,4750,1
Gentoo,1,Biscoe,4.7,22.2,4875,1
Chinstrap,0,Dream,5.1,20.3,4100,0
Gentoo,1,Biscoe,4.7,21.9,5200,0
Adelie,0,Biscoe,4.1,19.3,3800,0
Gentoo,1,Biscoe,4.8,22,5400,0
Adelie,0,Biscoe,3.8,18.3,3075,1
Adelie,0,Torgersen,4.3,19.7,3500,0
Adelie,0,Torgersen,3.6,18.7,3550,1
Adelie,0,Biscoe,3.8,18,3600,0
Adelie,0,Biscoe,4.1,18.3,3550,0
Chinstrap,0,Dream,5.1,19.3,3650,0
Gentoo,1,Biscoe,4.6,21.6,4700,1
Adelie,0,Torgersen,4,18.6,3800,1
Gentoo,1,Biscoe,4.8,21.9,4850,1
Adelie,0,Dream,4.2,19.1,4150,0
Gentoo,1,Biscoe,4.8,21,4600,1
Adelie,0,Biscoe,3.8,17.4,3400,1
Chinstrap,0,Dream,4.6,19,3575,1
Adelie,0,Dream,3.6,19.5,3450,1
Gentoo,1,Biscoe,5.5,23,5850,0
Gentoo,1,Biscoe,4.3,20.8,3950,1
Gentoo,1,Biscoe,4.9,22.1,6300,0
Adelie,0,Dream,4,20,3975,0
Gentoo,1,Biscoe,4.2,21,4150,1
Adelie,0,Dream,3.6,18.6,3100,1
Gentoo,1,Biscoe,4.7,21.3,4400,1
